"No.","Time","Source","Destination","Protocol","Length","Info"
"79","28.170305","fe80::3446:14ff:fe5a:86a7","fe80::ddcd:f7c8:ab7:5d6e","ICMPv6","86","Neighbor Solicitation for fe80::ddcd:f7c8:ab7:5d6e from 36:46:14:5a:86:a7"
"80","28.170399","fe80::ddcd:f7c8:ab7:5d6e","fe80::3446:14ff:fe5a:86a7","ICMPv6","78","Neighbor Advertisement fe80::ddcd:f7c8:ab7:5d6e (sol)"
"81","28.202155","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4003:c1c::bc","TCP","75","52298  >  5228 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"82","28.334239","2404:6800:4003:c1c::bc","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","5228  >  52298 [ACK] Seq=1 Ack=2 Win=289 Len=0 SLE=1 SRE=2"
"83","28.423559","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:304::","TLSv1.2","117","Application Data"
"84","28.474309","2600:1901:1:304::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  51927 [ACK] Seq=1 Ack=44 Win=289 Len=0"
"85","28.619773","2600:1901:1:304::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TLSv1.2","114","Application Data"
"86","28.661036","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:304::","TCP","74","51927  >  443 [ACK] Seq=44 Ack=41 Win=256 Len=0"
"87","30.774598","162.159.134.234","192.168.61.38","TLSv1.2","184","Application Data"
"88","30.817758","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=145 Ack=2595 Win=255 Len=0"
"89","31.197534","192.168.61.38","35.186.224.40","TLSv1.2","82","Application Data"
"90","31.280786","35.186.224.40","192.168.61.38","TCP","60","443  >  51926 [ACK] Seq=25 Ack=57 Win=272 Len=0"
"91","31.380463","35.186.224.40","192.168.61.38","TLSv1.2","78","Application Data"
"92","31.422068","192.168.61.38","35.186.224.40","TCP","60","51926  >  443 [ACK] Seq=57 Ack=49 Win=254 Len=0"
"93","34.916318","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive] 51964  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"94","36.064486","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:7c5::","TCP","75","52260  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP PDU reassembled in 623]"
"95","36.264688","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2405:200:1604::312c:7578","TCP","75","52711  >  443 [ACK] Seq=1 Ack=1 Win=2055 Len=1"
"96","36.370550","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2405:200:1604::312c:5f9f","TCP","75","52729  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"97","36.381965","192.168.61.38","162.159.138.232","TCP","60","51884  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 968]"
"98","36.865009","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:388::","TCP","75","52730  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"99","36.923902","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive] 51964  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"100","37.415865","203.17.244.55","192.168.61.38","TCP","60","[TCP Keep-Alive] 443  >  51964 [ACK] Seq=0 Ack=2 Win=11 Len=0"
"101","37.415865","162.159.134.234","192.168.61.38","TLSv1.2","159","Application Data"
"102","37.415865","162.159.134.234","192.168.61.38","TLSv1.2","133","Application Data"
"103","37.415865","162.159.134.234","192.168.61.38","TCP","133","[TCP Retransmission] 443  >  52733 [PSH, ACK] Seq=2700 Ack=145 Win=10 Len=79"
"104","37.415865","162.159.134.234","192.168.61.38","TLSv1.2","167","Application Data"
"105","37.415866","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive ACK] 51964  >  443 [ACK] Seq=2 Ack=1 Win=256 Len=0"
"106","37.415866","192.168.61.38","162.159.134.234","TCP","66","52733  >  443 [ACK] Seq=145 Ack=2779 Win=254 Len=0 SLE=2700 SRE=2779"
"107","37.415866","162.159.134.234","192.168.61.38","TLSv1.2","280","Application Data"
"108","37.415948","162.159.134.234","192.168.61.38","TLSv1.2","108","Application Data"
"109","37.415948","162.159.134.234","192.168.61.38","TCP","631","[TCP Retransmission] 443  >  52733 [PSH, ACK] Seq=2595 Ack=145 Win=10 Len=577"
"110","37.415948","2600:1901:1:7c5::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52260 [ACK] Seq=1 Ack=2 Win=489 Len=0 SLE=1 SRE=2"
"111","37.415948","192.168.61.38","162.159.134.234","TCP","66","52733  >  443 [ACK] Seq=145 Ack=3172 Win=253 Len=0 SLE=2595 SRE=3172"
"112","37.421814","2405:200:1604::312c:5f9f","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52729 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"113","37.421814","2405:200:1604::312c:7578","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52711 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"114","37.421814","2600:1901:1:388::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52730 [ACK] Seq=1 Ack=2 Win=278 Len=0 SLE=1 SRE=2"
"115","37.437053","162.159.138.232","192.168.61.38","TCP","66","443  >  51884 [ACK] Seq=1 Ack=2 Win=20 Len=0 SLE=1 SRE=2"
"116","37.584710","203.17.244.55","192.168.61.38","TCP","66","[TCP Dup ACK 14#3] 443  >  51964 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"117","37.594199","203.17.244.55","192.168.61.38","TCP","66","[TCP Dup ACK 14#4] 443  >  51964 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"118","38.245659","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:7c5::","TCP","75","52731  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"119","38.365352","2600:1901:1:7c5::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52731 [ACK] Seq=1 Ack=2 Win=278 Len=0 SLE=1 SRE=2"
"120","40.471603","192.168.61.38","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"121","41.475461","192.168.61.38","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"122","41.915429","104.199.241.202","192.168.61.38","TCP","65","4070  >  51914 [PSH, ACK] Seq=12 Ack=12 Win=6 Len=11"
"123","41.955940","192.168.61.38","104.199.241.202","TCP","60","51914  >  4070 [ACK] Seq=12 Ack=23 Win=254 Len=0"
"124","42.478529","192.168.61.38","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"125","42.873401","162.159.134.234","192.168.61.38","TLSv1.2","95","Application Data"
"126","42.873402","162.159.134.234","192.168.61.38","TLSv1.2","348","Application Data"
"127","42.873402","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=145 Ack=3507 Win=251 Len=0"
"128","42.953123","162.159.134.234","192.168.61.38","TLSv1.2","160","Application Data"
"129","42.993548","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=145 Ack=3613 Win=256 Len=0"
"130","43.482283","192.168.61.38","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"131","43.507427","192.168.61.38","192.168.61.104","DNS","87","Standard query 0x5c44 AAAA googleads.g.doubleclick.net"
"132","43.507427","192.168.61.38","192.168.61.104","DNS","87","Standard query 0x8f7c A googleads.g.doubleclick.net"
"133","43.507427","192.168.61.38","192.168.61.104","DNS","87","Standard query 0x5e34 HTTPS googleads.g.doubleclick.net"
"134","43.546450","192.168.61.104","192.168.61.38","DNS","115","Standard query response 0x5c44 AAAA googleads.g.doubleclick.net AAAA 2404:6800:4002:80f::2002"
"135","43.559778","192.168.61.104","192.168.61.38","DNS","103","Standard query response 0x8f7c A googleads.g.doubleclick.net A 142.250.194.2"
"136","43.559779","192.168.61.104","192.168.61.38","DNS","112","Standard query response 0x5e34 HTTPS googleads.g.doubleclick.net HTTPS"
"137","43.560915","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","1292","Initial, DCID=880afef263c958f4, PKN: 1, CRYPTO"
"138","43.560916","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","1292","Initial, DCID=880afef263c958f4, PKN: 2, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, PING"
"139","43.562821","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","141","0-RTT, DCID=880afef263c958f4"
"140","43.562822","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","917","0-RTT, DCID=880afef263c958f4"
"141","43.609577","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","1292","Initial, SCID=e80afef263c958f4, PKN: 1, ACK, PADDING"
"142","43.673696","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","1292","Initial, SCID=e80afef263c958f4, PKN: 2, CRYPTO, PADDING"
"143","43.673697","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","365","Protected Payload (KP0)"
"144","43.673697","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","989","Protected Payload (KP0)"
"145","43.673697","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","126","Protected Payload (KP0)"
"146","43.673698","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","86","Protected Payload (KP0)"
"147","43.674985","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","1292","Handshake, DCID=e80afef263c958f4"
"148","43.674985","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","93","Protected Payload (KP0), DCID=e80afef263c958f4"
"149","43.701654","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","94","Protected Payload (KP0), DCID=e80afef263c958f4"
"150","43.747576","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","182","Protected Payload (KP0)"
"151","43.747576","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","84","Protected Payload (KP0)"
"152","43.747576","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","631","Protected Payload (KP0)"
"153","43.747576","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","177","Protected Payload (KP0)"
"154","43.747576","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","93","Protected Payload (KP0), DCID=e80afef263c958f4"
"155","43.747576","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","97","Protected Payload (KP0), DCID=e80afef263c958f4"
"156","43.843881","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","182","Protected Payload (KP0)"
"157","43.843882","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:80f::2002","QUIC","95","Protected Payload (KP0), DCID=e80afef263c958f4"
"158","43.879619","2404:6800:4002:80f::2002","2409:4050:2d17:a717:5919:d4b2:62b0:c143","QUIC","87","Protected Payload (KP0)"
"159","45.086157","192.168.61.38","162.159.134.234","TLSv1.2","108","Application Data"
"160","45.136234","162.159.134.234","192.168.61.38","TCP","60","443  >  52733 [ACK] Seq=3613 Ack=199 Win=10 Len=0"
"161","45.435781","162.159.134.234","192.168.61.38","TLSv1.2","94","Application Data"
"162","45.483684","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=199 Ack=3653 Win=256 Len=0"
"163","45.498399","192.168.61.38","192.168.61.104","DNS","75","Standard query 0xbf53 AAAA www.youtube.com"
"164","45.498399","192.168.61.38","192.168.61.104","DNS","75","Standard query 0x6a58 A www.youtube.com"
"165","45.498399","192.168.61.38","192.168.61.104","DNS","75","Standard query 0xd6e4 HTTPS www.youtube.com"
"166","45.543399","192.168.61.104","192.168.61.38","DNS","221","Standard query response 0xbf53 AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2404:6800:4002:824::200e AAAA 2404:6800:4002:825::200e AAAA 2404:6800:4002:826::200e AAAA 2404:6800:4002:82e::200e"
"167","45.558874","192.168.61.104","192.168.61.38","DNS","365","Standard query response 0x6a58 A www.youtube.com CNAME youtube-ui.l.google.com A 142.250.192.238 A 142.250.193.14 A 142.250.194.206 A 142.250.194.238 A 142.250.195.14 A 142.250.207.206 A 142.250.207.238 A 172.217.167.206 A 172.217.167.238 A 216.58.196.110 A 216.58.200.174 A 142.250.77.206 A 142.250.77.238 A 142.250.182.174 A 142.250.192.174 A 142.250.192.206"
"168","45.558874","192.168.61.104","192.168.61.38","DNS","124","Standard query response 0xd6e4 HTTPS www.youtube.com CNAME youtube-ui.l.google.com HTTPS"
"169","45.558874","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TCP","86","52734  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"170","45.587202","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52734 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1370 SACK_PERM WS=256"
"171","45.587202","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TCP","74","52734  >  443 [ACK] Seq=1 Ack=1 Win=64768 Len=0"
"172","45.588125","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TLSv1.3","2318","Client Hello (SNI=www.youtube.com)"
"173","45.637519","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  52734 [ACK] Seq=1 Ack=1371 Win=68608 Len=0"
"174","45.637520","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  52734 [ACK] Seq=1 Ack=2245 Win=71168 Len=0"
"175","45.718697","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TLSv1.3","1538","Server Hello, Change Cipher Spec, Application Data"
"176","45.718697","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TCP","74","52734  >  443 [ACK] Seq=2245 Ack=1465 Win=65536 Len=0"
"177","45.721312","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TLSv1.3","148","Change Cipher Spec, Application Data"
"178","45.721312","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TLSv1.3","166","Application Data"
"179","45.721312","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TLSv1.3","2816","Application Data"
"180","45.721312","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2404:6800:4002:824::200e","TLSv1.3","2978","Application Data"
"181","45.777158","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  52734 [ACK] Seq=1465 Ack=2319 Win=71168 Len=0"
"182","45.777159","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  52734 [ACK] Seq=1465 Ack=2411 Win=71168 Len=0"
"183","45.777159","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  52734 [ACK] Seq=1465 Ack=3781 Win=74240 Len=0"
"184","45.777159","2404:6800:4002:824::200e","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TLSv1.3","1034","Application Data, Application Data"
